Fuente/medio;Conversiones;Valor de las conversiones
Universal LDK / email > Universal LDK / email > Universal LDK / email > Universal LDK / email > Universal LDK / email > Universal LDK / email > (direct) / (none);4;49,80 €
Universal LDK / email > (direct) / (none) > criteo / banner;4;147,60 €
Universal LDK / email > (direct) / (none) > (direct) / (none) > Universal LDK / email;4;12,90 €
Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);4;0,00 €
Universal LDK / email > (direct) / (none) > google / organic > (direct) / (none);4;107,00 €
criteo / banner > Universal LDK / email;4;0,00 €
criteo / banner > (direct) / (none) > (direct) / (none) > google / cpc;4;39,90 €
criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);4;158,40 €
(direct) / (none) > lm.facebook.com / referral;4;0,00 €
(direct) / (none) > google / cpc > (direct) / (none) > google / cpc;4;129,60 €
(direct) / (none) > Universal LDK / email > google / cpc > google / cpc;4;27,90 €
(direct) / (none) > Universal LDK / email > google / organic > (direct) / (none);4;55,90 €
(direct) / (none) > criteo / banner > google / cpc > google / organic > (direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none);4;102,80 €
(direct) / (none) > (direct) / (none) > criteo / banner > portal.isdefe.es / referral;4;98,80 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none);4;168,30 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc;4;23,90 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);4;201,60 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none);4;2.083,20 €
(direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none);4;176,01 €
(direct) / (none) > google / organic > google / cpc > (direct) / (none);4;27,90 €
(direct) / (none) > google / organic > (direct) / (none) > google / cpc > google / cpc;4;96,10 €
(direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);4;14,90 €
(direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);4;193,60 €
(direct) / (none) > lolaterecomienda / home;4;0,00 €
google / organic > google / cpc > (direct) / (none) > google / cpc > google / cpc;4;696,00 €
google / organic > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none);4;33,70 €
google / organic > (direct) / (none) > facebook.com / referral;4;65,40 €
google / organic > (direct) / (none) > criteo / banner > (direct) / (none);4;19,90 €
google / organic > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none);4;46,90 €
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);4;426,70 €
yotpo / facebook > criteo / banner > (direct) / (none) > (direct) / (none);4;157,20 €
facebook.com / referral > (direct) / (none);4;0,00 €
yap.yotpo.com / referral;4;0,00 €
micasarevista.com / referral;4;0,00 €
es.search.yahoo.com / referral > (direct) / (none);4;0,00 €
bing / cpc > es.search.yahoo.com / referral;3;0,00 €
bing / cpc > es.search.yahoo.com / referral > (direct) / (none);3;39,10 €
bing / cpc > bing / organic;3;149,40 €
bing / cpc > criteo / banner > es.search.yahoo.com / referral > (direct) / (none);3;124,90 €
bing / cpc > (direct) / (none) > (direct) / (none);3;0,00 €
bing / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);3;0,00 €
l.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none);3;419,50 €
keep.google.com / referral;3;29,90 €
lm.facebook.com / referral > (direct) / (none);3;0,00 €
outlook.live.com / referral > (direct) / (none) > (direct) / (none);3;28,20 €
web.whatsapp.com / referral;3;38,90 €
web.whatsapp.com / referral > (direct) / (none);3;485,80 €
google / cpc > m.facebook.com / referral > google / organic;3;90,70 €
google / cpc > web.whatsapp.com / referral;3;49,90 €
google / cpc > webmail.indra.es / referral;3;142,20 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > criteo / banner > (direct) / (none) > google / cpc > google / cpc > criteo / banner > google / organic > criteo / banner > google / cpc > google / cpc > google / cpc;3;131,60 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc;3;22,40 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / organic > google / cpc;3;129,60 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > criteo / banner;3;129,60 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none);3;59,90 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / organic > google / cpc > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > google / cpc;3;47,20 €
google / cpc > google / cpc > google / cpc > google / cpc > criteo / banner > google / cpc;3;0,00 €
google / cpc > google / cpc > google / cpc > google / cpc > criteo / banner > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / organic > criteo / banner > google / organic > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > criteo / banner > (direct) / (none);3;103,70 €
google / cpc > google / cpc > google / cpc > google / cpc > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc;3;160,00 €
google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);3;240,00 €
google / cpc > google / cpc > google / cpc > google / cpc > google / organic > google / cpc;3;73,44 €
google / cpc > google / cpc > google / cpc > google / cpc > google / organic > google / cpc > google / cpc;3;45,80 €
google / cpc > google / cpc > google / cpc > google / cpc > google / organic > google / cpc > google / cpc > google / cpc;3;39,50 €
google / cpc > google / cpc > google / cpc > google / cpc > google / organic > google / cpc > (direct) / (none) > google / organic > google / cpc > google / organic > google / cpc > criteo / banner > (direct) / (none) > google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc > google / organic > criteo / banner > google / cpc > google / cpc > criteo / banner > google / cpc > google / organic > criteo / banner > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > criteo / banner > google / cpc > google / organic > google / cpc > google / cpc > google / cpc;3;87,10 €
google / cpc > google / cpc > google / cpc > criteo / banner > google / cpc > google / cpc;3;0,00 €
google / cpc > google / cpc > google / cpc > criteo / banner > google / cpc > facebook.com / referral;3;24,90 €
google / cpc > google / cpc > google / cpc > criteo / banner > (direct) / (none) > google / cpc;3;56,90 €
google / cpc > google / cpc > google / cpc > criteo / banner > (direct) / (none) > google / cpc > google / cpc > google / cpc > (direct) / (none);3;231,70 €
google / cpc > google / cpc > google / cpc > criteo / banner > (direct) / (none) > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none);3;267,00 €
google / cpc > google / cpc > google / cpc > criteo / banner > (direct) / (none) > (direct) / (none);3;1.580,40 €
google / cpc > google / cpc > google / cpc > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none);3;39,90 €
google / cpc > google / cpc > google / cpc > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);3;252,00 €
google / cpc > google / cpc > google / cpc > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);3;84,46 €
google / cpc > google / cpc > google / cpc > (direct) / (none) > criteo / banner;3;51,10 €
google / cpc > google / cpc > google / cpc > (direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > google / organic;3;162,00 €
google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);3;85,80 €
google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc;3;71,80 €
google / cpc > google / cpc > google / cpc > google / organic > google / cpc > google / cpc > google / cpc > criteo / banner > (direct) / (none) > google / cpc;3;38,90 €
google / cpc > google / cpc > google / cpc > google / organic > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc;3;189,00 €
google / cpc > google / cpc > google / cpc > google / organic > google / cpc > (direct) / (none) > google / organic > (direct) / (none) > google / cpc;3;66,30 €
google / cpc > google / cpc > google / cpc > google / organic > (direct) / (none) > google / cpc > google / cpc;3;101,70 €
google / cpc > google / cpc > google / cpc > google / organic > (direct) / (none) > (direct) / (none);3;270,00 €
google / cpc > google / cpc > criteo / banner > google / cpc > criteo / banner > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc;3;63,90 €
google / cpc > google / cpc > criteo / banner > (direct) / (none) > google / cpc > accounts.google.es / referral;3;107,84 €
google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc;3;148,50 €
google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > (direct) / (none);3;36,60 €
google / cpc > google / cpc > (direct) / (none) > google / cpc > criteo / banner > (direct) / (none) > google / cpc;3;244,60 €
google / cpc > google / cpc > (direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none);3;121,50 €
google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > (direct) / (none) > google / cpc;3;16,50 €
google / cpc > google / cpc > (direct) / (none) > google / organic > google / cpc;3;0,00 €
google / cpc > google / cpc > (direct) / (none) > google / organic > google / cpc > google / cpc > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none);3;38,90 €
google / cpc > google / cpc > (direct) / (none) > google / organic > google / cpc > (direct) / (none) > (direct) / (none) > criteo / banner > (direct) / (none) > google / cpc > criteo / banner > (direct) / (none) > (direct) / (none);3;112,10 €
google / cpc > google / cpc > (direct) / (none) > google / organic > google / cpc > google / organic > (direct) / (none) > google / cpc > google / cpc > google / organic > google / cpc > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc;3;156,00 €
google / cpc > google / cpc > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none);3;42,30 €
google / cpc > google / cpc > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);3;367,50 €
