,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
3987,51148,muebles,"consolas, recibidores y tocadores",2018-12-29,200,0.51,977,6,3.06,0.5,1.0,99.0,198.0,32.35
3988,51148,muebles,"consolas, recibidores y tocadores",2018-10-29,200,0.12,456,3,0.36,0.0,0.0,0.0,0.0,0.0
3989,51148,muebles,"consolas, recibidores y tocadores",2019-03-22,300,0.21,695,2,0.42,0.0,0.0,0.0,0.0,0.0
3990,51148,muebles,"consolas, recibidores y tocadores",2018-11-26,200,0.51,2584,13,6.59,0.0,0.07,0.0,16.5,0.0
3991,51148,muebles,"consolas, recibidores y tocadores",2019-03-23,300,0.26,579,2,0.53,0.0,0.0,0.0,0.0,0.0
3992,51148,muebles,"consolas, recibidores y tocadores",2019-02-19,200,0.26,637,5,1.32,0.0,0.0,0.0,0.0,0.0
3993,51148,muebles,"consolas, recibidores y tocadores",2019-02-08,200,0.26,956,7,1.85,0.0,0.0,0.0,0.0,0.0
3994,51148,muebles,"consolas, recibidores y tocadores",2019-02-07,200,0.36,763,9,3.24,0.0,0.0,0.0,0.0,0.0
3995,51148,muebles,"consolas, recibidores y tocadores",2018-10-08,200,0.08,598,5,0.38,0.0,0.0,0.0,0.0,0.0
3996,51148,muebles,"consolas, recibidores y tocadores",2019-01-29,200,0.25,890,5,1.25,0.0,0.0,0.0,0.0,0.0
3997,51148,muebles,"consolas, recibidores y tocadores",2018-12-07,200,0.0,376,0,0.0,0.0,0.0,0.0,0.0,0.0
3998,51148,muebles,"consolas, recibidores y tocadores",2018-11-22,200,0.2,1681,15,2.98,0.0,0.0,0.0,0.0,0.0
3999,51148,muebles,"consolas, recibidores y tocadores",2019-01-22,200,0.27,929,5,1.33,0.0,0.0,0.0,0.0,0.0
4000,51148,muebles,"consolas, recibidores y tocadores",2019-01-25,200,0.32,899,7,2.21,0.0,0.0,0.0,0.0,0.0
